Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,278062723,0,A,1000,124900,G,
0.0,,Insert,278063271,0,B,400,124700,G,
0.0,,Insert,278063275,0,A,1000,124900,G,
0.0,,Insert,278063283,0,B,1000,124700,G,
0.0,,Insert,278063291,0,B,2000,123800,G,
0.0,,Insert,278063307,0,B,1000,124700,G,
0.0,,Cancel,278063275,,,-1000,,,
0.0,,Insert,278063311,0,B,1000,124100,G,
0.0,,Insert,278063315,0,B,2000,90900,G,
0.0,,Insert,278063331,0,A,2000,159200,G,
0.0,,Insert,278063475,0,A,3000,125000,G,
0.0,,Insert,278063491,0,A,1000,124800,G,
0.0,,Cancel,278063475,,,-3000,,,
0.0,,Insert,278063507,0,A,3000,125000,G,
0.0,,Insert,278063519,0,B,1000,80700,G,
0.0,,Insert,278063567,0,A,2000,124900,G,
0.0,,Cancel,278063307,,,-1000,,,
0.0,,Insert,278063615,0,A,2000,125000,G,
0.0,,Insert,278063767,0,A,8000,124900,G,
0.0,,Insert,278063943,0,B,2000,123400,G,
0.0,,Cancel,278063491,,,-1000,,,
0.0,,Insert,278064235,0,B,1000,95300,G,
0.0,,Insert,278064239,0,A,3000,125000,G,
0.0,,Insert,278064247,0,A,1000,124800,G,
0.0,,Cancel,278064239,,,-3000,,,
0.0,,Cancel,278063567,,,-2000,,,
0.0,,Cancel,278064247,,,-1000,,,
0.0,,Insert,278064751,0,A,2000,125800,G,
0.0,,Insert,278064835,0,A,1000,124900,G,
0.0,,Insert,278065195,0,A,3000,125000,G,
0.0,,Insert,278065267,0,A,1000,124800,G,
0.0,,Cancel,278065195,,,-3000,,,
0.0,,Cancel,278064751,,,-2000,,,
0.0,,Insert,278065291,0,A,1000,154200,G,
0.0,,Insert,278065339,0,B,660,124700,G,
0.0,,Cancel,278065267,,,-1000,,,
0.0,,Insert,278065343,0,A,2000,125800,G,
0.0,,Insert,278065395,0,A,2000,125000,G,
0.0,,Insert,278065527,0,B,1000,124700,G,
0.0,,Cancel,278063767,,,-8000,,,
0.0,,Cancel,278063331,,,-2000,,,
0.0,,Insert,278065555,0,A,2000,159300,G,
0.0,,Insert,278065591,0,A,1000,125000,G,
0.0,,Cancel,278065555,,,-2000,,,
0.0,,Insert,278065735,0,A,2000,159200,G,
0.0,,Cancel,278063519,,,-1000,,,
0.0,,Cancel,278065735,,,-2000,,,
0.0,,Insert,278066039,0,A,2000,159300,G,
0.0,,Insert,278066043,0,B,1000,80800,G,
0.0,,Insert,278066415,0,B,1000,123200,G,
0.0,,Cancel,278063311,,,-1000,,,
0.0,,Insert,278066807,0,B,1000,124800,G,
0.0,,Cancel,278065291,,,-1000,,,
0.0,,Insert,278066811,0,B,400,124800,G,
0.0,,Cancel,278063315,,,-2000,,,
0.0,,Insert,278066815,0,B,2000,91000,G,
0.0,,Cancel,278063271,,,-400,,,
0.0,,Insert,278066819,0,A,1000,154300,G,
0.0,,Insert,278066823,0,B,660,124800,G,
0.0,,Cancel,278063291,,,-2000,,,
0.0,,Cancel,278063943,,,-2000,,,
0.0,,Insert,278066831,0,B,2000,124400,G,
0.0,,Cancel,278066823,,,-660,,,
0.0,,Cancel,278064835,,,-1000,,,
0.0,,Cancel,278063615,,,-2000,,,
0.0,,Insert,278066863,0,B,660,124800,G,
0.0,,Cancel,278062723,,,-1000,,,
0.0,,Cancel,278066415,,,-1000,,,
0.0,,Insert,278066899,0,B,1000,123300,G,
0.0,,Insert,278066907,0,B,1000,124800,G,
0.0,,Insert,278066927,0,B,60,124700,G,
0.0,,Insert,278066931,0,A,1000,125500,G,
0.0,,Cancel,278066927,,,-60,,,
0.0,,Cancel,278063283,,,-1000,,,
0.0,,Insert,278067391,0,B,1000,124800,G,
0.0,,Insert,278067403,0,B,1000,124800,G,
0.0,,Cancel,278063507,,,-3000,,,
0.0,,Insert,278067439,0,A,1000,125000,G,
0.0,,Insert,278067443,0,A,2000,125900,G,
0.0,,Insert,278067699,0,A,1000,124900,G,
0.0,,Insert,278067703,0,A,3000,125100,G,
0.0,,Cancel,278067443,,,-2000,,,
0.0,,Cancel,278067403,,,-1000,,,
0.0,,Cancel,278065395,,,-2000,,,
0.0,,Cancel,278065591,,,-1000,,,
0.0,,Cancel,278067699,,,-1000,,,
0.0,,Insert,278068027,0,B,8000,124800,G,
0.0,,Insert,278068031,0,B,1000,124800,G,
0.0,,Insert,278068035,0,A,1000,125100,G,
0.0,,Insert,278068067,0,A,2000,125900,G,
0.0,,Cancel,278065527,,,-1000,,,
0.0,,Insert,278068099,0,A,1000,125600,G,
0.0,,Cancel,278068099,,,-1000,,,
0.0,,Insert,278068187,0,A,1000,124900,G,
0.0,,Cancel,278068035,,,-1000,,,
0.0,,Cancel,278068067,,,-2000,,,
0.0,,Cancel,278068031,,,-1000,,,
0.0,,Cancel,278068187,,,-1000,,,
0.0,,Insert,278068231,0,A,2000,125900,G,
0.0,,Insert,278068267,0,A,1000,124900,G,
0.0,,Cancel,278068231,,,-2000,,,
0.356153,,Insert,5033613,1,A,94,124800,G,
0.431999,,Insert,7078557,1,A,10000,125400,G,
0.431999,,Insert,7078558,1,B,10000,124200,G,
0.444604,,Insert,278068303,0,B,1000,124800,G,
0.445471,,Cancel,7078557,,,-10000,,,
0.445471,,Cancel,7078558,,,-10000,,,
0.445471,,Insert,7078559,1,A,10000,125400,G,
0.445471,,Insert,7078560,1,B,10000,124200,G,
0.451473,,Cancel,278066907,,,-1000,,,
0.451579,,Cancel,278068303,,,-1000,,,
0.452274,,Cancel,278068027,,,-8000,,,
0.50082,,Cancel,7078559,,,-10000,,,
0.50082,,Cancel,7078560,,,-10000,,,
0.50082,,Insert,7078561,1,A,10000,125400,G,
0.50082,,Insert,7078562,1,B,10000,124200,G,
0.528036,,Insert,278069719,0,A,1000,126400,G,
0.528058,,Cancel,278064235,,,-1000,,,
0.532054,,Insert,278069743,0,A,2000,126000,G,
0.532077,,Insert,278069747,0,B,1000,95400,G,
0.564266,,Insert,278070163,0,A,2000,125100,G,
0.564282,,Cancel,278066863,,,-660,,,
0.564284,,Insert,278070183,0,A,660,124900,G,
0.564284,,Cancel,278066807,,,-1000,,,
0.564306,,Cancel,278067439,,,-1000,,,
0.564446,,Cancel,278067391,,,-1000,,,
0.56449,,Insert,278070243,0,A,1000,124900,G,
0.564511,,Cancel,278066811,,,-400,,,
0.56457,,Insert,278070259,0,B,400,124700,G,
0.564586,,Insert,278070263,0,B,1000,124700,G,
0.564693,,Insert,278070287,0,B,2000,123800,G,
0.564713,,Insert,278070291,0,B,1000,124800,G,
0.564815,,Cancel,278070287,,,-2000,,,
0.564834,,Cancel,278070259,,,-400,,,
0.564919,,Cancel,278070291,,,-1000,,,
0.564951,,Insert,278070327,0,A,1000,124900,G,
0.564985,,Insert,278070339,0,A,2000,125000,G,
0.565061,,Cancel,278066931,,,-1000,,,
0.565065,,Insert,278070367,0,A,1000,124900,G,
0.565067,,Insert,278070371,0,B,2000,123800,G,
0.565119,,Insert,278070391,0,A,1000,124900,G,
0.565283,,Insert,278070419,0,A,1000,124900,G,
0.565921,,Insert,278070635,0,A,1000,125100,G,
0.566266,,Cancel,278070635,,,-1000,,,
0.572978,,Insert,278071015,0,A,8000,124900,G,
0.573189,,Insert,278071063,0,A,2000,125000,G,
0.573201,,Cancel,278069743,,,-2000,,,
0.57328,,Insert,278071095,0,A,310,124900,G,
0.573311,,Insert,278071119,0,B,1000,124100,G,
0.573314,,Insert,278071123,0,A,1000,124800,G,
0.573324,,Cancel,278070367,,,-1000,,,
0.573324,,Insert,278071127,0,A,1000,124800,G,
0.573329,,Insert,278071135,0,B,1000,124700,G,
0.573339,,Cancel,278070243,,,-1000,,,
0.573341,,Cancel,278070339,,,-2000,,,
0.573347,,Insert,278071155,0,A,3000,125000,G,
0.573347,,Cancel,278067703,,,-3000,,,
0.573372,,Insert,278071183,0,B,1000,124700,G,
0.573407,,Cancel,278066039,,,-2000,,,
0.573407,,Insert,278071203,0,A,2000,159200,G,
0.573417,,Cancel,278066815,,,-2000,,,
0.573417,,Insert,278071219,0,B,2000,90900,G,
0.573419,,Cancel,278065343,,,-2000,,,
0.573506,,Cancel,278071183,,,-1000,,,
0.573589,,Cancel,278065339,,,-660,,,
0.573911,,Insert,278071423,0,A,660,124800,G,
0.574505,,Cancel,278071423,,,-660,,,
0.577308,,Cancel,278071095,,,-310,,,
0.581782,,Cancel,278066899,,,-1000,,,
0.581983,,Insert,278072111,0,A,660,124800,G,
0.582012,,Cancel,278071135,,,-1000,,,
0.582851,,Cancel,278066831,,,-2000,,,
0.582851,,Insert,278072123,0,B,2000,123400,G,
0.582853,,Cancel,278070263,,,-1000,,,
0.582896,,Insert,278072135,0,A,1000,124800,G,
0.582932,,Insert,278072163,0,B,400,124600,G,
0.582934,,Insert,278072167,0,A,8000,124800,G,
0.582973,,Insert,278072175,0,B,2000,123700,G,
0.583211,,Insert,278072231,0,A,1000,124800,G,
0.583239,,Insert,278072247,0,B,1000,124600,G,
0.583266,,Insert,278072251,0,B,1000,124000,G,
0.583421,,Cancel,278071219,,,-2000,,,
0.583421,,Insert,278072267,0,B,2000,90800,G,
0.583429,,Insert,278072271,0,B,1000,124600,G,
0.584058,,Insert,278072407,0,A,1000,124700,G,
0.584089,,Cancel,278071155,,,-3000,,,
0.584091,,Insert,278072431,0,A,3000,124900,G,
0.58415,,Cancel,278071203,,,-2000,,,
0.58415,,Insert,278072467,0,A,2000,159100,G,
0.584159,,Cancel,278069719,,,-1000,,,
0.587729,,Insert,5033614,1,A,61,122700,G,
0.587943,,Cancel,278070419,,,-1000,,,
0.590349,,Insert,278073655,0,A,1000,129600,G,
0.596529,,Insert,278074095,0,A,660,124700,G,
0.596663,,Cancel,278072247,,,-1000,,,
0.59688,,Insert,278074535,0,A,1000,125100,G,
0.597007,,Cancel,278072271,,,-1000,,,
0.597276,,Insert,278074843,0,A,2000,124900,G,
0.597425,,Insert,278074983,0,B,2000,123300,G,
0.597878,,Insert,278075251,0,B,1000,123500,G,
0.59792,,Insert,278075271,0,A,1000,124700,G,
0.598037,,Insert,278075319,0,A,1000,125300,G,
0.598146,,Cancel,278075271,,,-1000,,,
0.598181,,Insert,278075391,0,A,1000,124800,G,
0.598314,,Insert,278075451,0,B,8000,124600,G,
0.599504,,Cancel,278072163,,,-400,,,
0.600004,,Insert,278075815,0,A,1000,124700,G,
0.608916,,Insert,278076175,0,B,1000,124500,G,
0.643905,,Insert,278076899,0,B,400,124600,G,
0.650681,,Cancel,278075815,,,-1000,,,
0.665184,,Insert,278077267,0,B,1000,124600,G,
0.665207,,Cancel,278066043,,,-1000,,,
0.673446,,Cancel,278074095,,,-660,,,
0.673471,,Insert,278077359,0,B,1000,80600,G,
0.673498,,Insert,278077371,0,B,660,124600,G,
0.673498,,Insert,278077375,0,A,1000,168700,G,
0.673531,,Insert,278077379,0,B,1000,124600,G,
0.673719,,Insert,278077415,0,B,1000,124600,G,
0.673763,,Cancel,278072407,,,-1000,,,
0.673792,,Insert,278077443,0,A,2000,124900,G,
0.673905,,Cancel,278075391,,,-1000,,,
0.673909,,Insert,278077475,0,A,2000,125700,G,
0.673945,,Insert,278077503,0,B,1000,124600,G,
0.673945,,Insert,278077507,0,A,1000,124800,G,
0.674217,,Insert,278077551,0,A,1000,125100,G,
0.674226,,Cancel,278077507,,,-1000,,,
0.674282,,Insert,278077575,0,A,1000,125400,G,
0.674293,,Cancel,278072231,,,-1000,,,
0.67432,,Cancel,278072467,,,-2000,,,
0.67432,,Insert,278077587,0,A,2000,159200,G,
0.674551,,Insert,278077615,0,A,1000,124800,G,
0.676227,,Cancel,278072135,,,-1000,,,
0.676258,,Cancel,278077615,,,-1000,,,
0.689203,,Cancel,278074983,,,-2000,,,
0.689203,,Insert,278077939,0,B,2000,124300,G,
0.692573,,Insert,278077963,0,A,1000,124900,G,
0.707882,,Cancel,278077575,,,-1000,,,
0.707922,,Insert,278078383,0,A,1000,124800,G,
